表格 1
Intended elements to the postcard collection,,,,,,,,,,,,,,,,,,,,,,,,,
,Explanation,Example,Mandatory?,Several instances?,,Axvall3Recto.jpg,Axvall3Verse.jpg,Axvall4Recto.jpg,Axvall4Verse.jpg,folkhögskolanRecto.jpg,folkhögskolanVerse.jpg,försvarsmaktenBeslut.jpg,idrottsPlatsen.jpg,Komunalhuset.jpg,norraVing1Recto.jpg,norraVing1Verse_Stampled.jpg,norraVing2.jpg,norraVing2Verse.jpg,photoOfpostCardStation.jpg,SkärvKyrkaRecto.jpg,skärvKyrkaVerse.jpg,storaEkbergSanatorium.jpg,VallehemmetRecto.jpg,VallehemmetVerse.jpg,
Root,,,Mandatory,,,,,,,,,,,,,,,,,,,,,,
Identifier,A code we give each postcard,NV01,Mandatory,No,,Ax01,Ax02,Ax03,Ax04,Ax05,Ax06,Ax07,Ax08,Ax09,Ax10,Ax11,Ax12,Ax13,Ax14,Ax15,Ax16,Ax17,Ax18,Ax19,
GPS,Identify where the postcard is representing,,Optional,Yes,,,,,,"https://www.google.com/maps/place/Axevalla+Folkh%C3%B6gskola/@58.3841235,13.0822225,10.5z/data=!4m5!3m4!1s0x465b1e00bffa4663:0xe3dc04d68782a077!8m2!3d58.3889151!4d13.57335",,,,"https://www.google.com/maps/place/Skara+stadshus/@58.2522185,13.0163108,8z/data=!4m9!1m2!2m1!1skommunhuset+skara!3m5!1s0x0:0x8caaba56fcd0a5ad!8m2!3d58.3860566!4d13.4393261!15sChFrb21tdW5odXNldCBza2FyYZIBEGNvcnBvcmF0ZV9vZmZpY2U",,,,,,"https://www.google.com/maps/place/Sk%C3%A4rvs+kyrka/@58.4076624,13.6029051,18.5z/data=!4m12!1m6!3m5!1s0x465b1ddcda3548bb:0xa45e2175272eb0a0!2sSk%C3%A4rvs+kyrka!8m2!3d58.4076788!4d13.6046545!3m4!1s0x465b1ddcda3548bb:0xa45e2175272eb0a0!8m2!3d58.4076788!4d13.6046545",,,"https://www.google.com/maps/place/Vallehemmet+Axvall/@58.3836982,13.5979125,15.75z/data=!4m5!3m4!1s0x465b1df9d7a0240b:0x3376834748863040!8m2!3d58.3856793!4d13.5932665",,
Publisher,The publishing company,förlag,Optional,No,,"Ivar Larsson Eftr., Axvall","Ivar Larsson Eftr., Axvall",,"Ivar Larsson, Axvall","var Larsson, Axvall","var Larsson, Axvall",,,,,,,,,,,,,,
Photograph,The photograph's name,Gustav Mellblom,Optional,No,,Ahrenbergsflyg. Lilljeqvist,,Ahrenbergsflyg.Lilljeqvist,,Ahrenbergsflyg.Lilljeqvist,,,,AB.Stockholms Aero,AB.Stockholms Aero,,,,AB.Stockholms Aero,Lilljeqvist.,,,AB.Stockholms Aero,,
Exclusive right,Ensamrätt,,,,,"Almquist&Cöster, Hälsningborg","Almquist&Cöster, Hälsningborg","Almquist&Cöster, Hälsningborg","Almquist&Cöster, Hälsningborg","Almquist&Cöster, Hälsningborg","Almquist&Cöster, Hälsningborg",,,,,,,,,"AB Flygtrafik, Stockholm",,,,,
Year,"If the information is available, the year of publishing",1905,Optional,No,,,,,,,,1941,,,,,,,,,,,,,
Recto_text,Any text in the front of the postcard,N:a Ving Kyrka,Optional,Yes,,,,,,,,,,,,,,,,,,,,,
Verse_text,Any text in the verse of the postcard,Gustav Mellblom förlag,Optional,Yes,,,,,,,,,,,,,,,,,,,,,
Dimentions,The actual dimentions of the postcard,9x10,Optional,No,,,,,,,,,,,,,,,,,,,,,
